"x","y","nome_deputado","nome","partido","uf","twitter","ordem","Partido"
0.1205273893,0.0231911168,"luciovl_","LUCIO VIEIRA LIMA","PMDB","BA","luciovl_","NA","PMDB"
0.0043657291,0.012781618,"luistibe","LUIS TIBÉ","PTdoB","MG","luistibe","NA","resto"
-0.2050469808,-0.0780257573,"luiza_erundina","LUIZA ERUNDINA","PSB","SP","luiza_erundina","NA","resto"
-0.1766021844,-0.1023184732,"luizcoutopt","LUIZ COUTO","PT","PB","luizcoutopt","NA","PT"
0.0026922244,0.0687505305,"luizlaurofilho_","LUIZ LAURO FILHO","PSB","SP","luizlaurofilho_","NA","resto"
0.169650314,0.053020377,"luiznishimori","LUIZ NISHIMORI","PR","PR","luiznishimori","NA","resto"
0.1604865764,-0.0570667877,"magdamofatto","MAGDA MOFATTO","PR","GO","magdamofatto","NA","resto"
0.1926213302,-0.0624945708,"majorolimpio","MAJOR OLIMPIO","PDT","SP","majorolimpio","NA","resto"
0.148161363,0.0139715235,"mandatobalestra","ROBERTO BALESTRA","PP","GO","mandatobalestra","NA","resto"
0.0652885303,0.1265915316,"maragabrilli","MARA GABRILLI","PSDB","SP","maragabrilli","NA","PSDB"
0.0419419151,-0.0167904648,"marceloaro","MARCELO ARO","PHS","MG","marceloaro","NA","resto"
-0.0774278549,0.0931651041,"marcelobelinati","MARCELO BELINATI","PP","PR","marcelobelinati","NA","resto"
0.2019446689,-0.0516744537,"marcelocastropi","MARCELO CASTRO","PMDB","PI","marcelocastropi","NA","PMDB"
-0.2318426664,0.1596999201,"marchezan_","NELSON MARCHEZAN JUNIOR","PSDB","RS","marchezan_","NA","PSDB"
-0.100019741,-0.1596329167,"marciomacedopt","MACEDO","PSL","CE","marciomacedopt","NA","resto"
0.0440909638,-0.1893456728,"marcivania13","PROFESSORA MARCIVANIA","PT","AP","marcivania13","NA","PT"
0.0599474486,0.1380301691,"marcofeliciano","PR. MARCO FELICIANO","PSC","SP","marcofeliciano","NA","resto"
-0.0009891351,0.0953545604,"marcosabraor","MARCOS ABRÃO","PPS","GO","marcosabraor","NA","resto"
-0.0529410182,0.0213262329,"marcosrogeriodf","MARCOS ROGÉRIO","PDT","RO","marcosrogeriodf","NA","resto"
0.1590786872,-0.0530093055,"marcosrotta","MARCOS ROTTA","PMDB","AM","marcosrotta","NA","PMDB"
0.2049164214,-0.0348721854,"marcossoaresdep","MARCOS SOARES","PR","RJ","marcossoaresdep","NA","resto"
-0.025229518,0.2206140194,"marcus_pestana","MARCUS PESTANA","PSDB","MG","marcus_pestana","NA","PSDB"
-0.3048390521,-0.1366792771,"_mariadorosario","MARIA DO ROSÁRIO","PT","RS","_mariadorosario","NA","PT"
0.0101817884,0.1103947962,"marianapsdb","MARIANA CARVALHO","PSDB","RO","marianapsdb","NA","PSDB"
-0.16307274,0.1259059394,"marinaldorosend","MARINALDO ROSENDO","PSB","PE","marinaldorosend","NA","resto"
0.0075805332,-0.0617433856,"mario_heringer","MÁRIO HERINGER","PDT","MG","mario_heringer","NA","resto"
-0.202468703,0.0402906345,"marquezellinews","NELSON MARQUEZELLI","PTB","SP","marquezellinews","NA","resto"
0.112622489,0.0292904805,"mauro_mariani","MAURO MARIANI","PMDB","SC","mauro_mariani","NA","PMDB"
0.1960269052,-0.0351506055,"maxmaurofilho","MAX FILHO","PSDB","ES","maxmaurofilho","NA","PSDB"
0.0928997191,-0.007111305,"mendesmarquinho","MARQUINHO MENDES","PMDB","RJ","mendesmarquinho","NA","PMDB"
0.0463946017,0.1398702623,"mendonca_filho","MENDONÇA FILHO","DEM","PE","mendonca_filho","NA","resto"
-0.182889954,0.1594505023,"mhelenaveronese","MARIA HELENA","PSB","RR","mhelenaveronese","NA","resto"
0.181738671,-0.0498866874,"miroteixeira","MIRO TEIXEIRA","PROS","RJ","miroteixeira","NA","resto"
0.1452810013,0.0073467788,"misaelvarella","MISAEL VARELLA","DEM","MG","misaelvarella","NA","resto"
0.1687761114,-0.0843501229,"mobiliza15","VENEZIANO VITAL DO RÊGO","PMDB","PB","mobiliza15","NA","PMDB"
-0.1824402789,-0.2533489148,"moemagramacho","MOEMA GRAMACHO","PT","BA","moemagramacho","NA","PT"
0.0432022861,0.0788006025,"mtebaldi","MARCO TEBALDI","PSDB","SC","mtebaldi","NA","PSDB"
-0.078921426,0.1020616772,"netto_expedito","EXPEDITO NETTO","SD","RO","netto_expedito","NA","resto"
-0.199909641,0.1383702004,"newton1510","NEWTON CARDOSO JR","PMDB","MG","newton1510","NA","PMDB"
-0.1341065655,-0.2443047535,"nilocicero ","NILO CICERO","PT","NA","NA","NA","NA"
0.0824196541,0.1339134781,"nilson_leitao","NILSON LEITÃO","PSDB","MT","nilson_leitao","NA","PSDB"
-0.2706303107,-0.1897604636,"niltotatto","NILTO TATTO","PT","SP","niltotatto","NA","PT"
0.1044070397,0.115835703,"odelmoleao","ODELMO LEÃO","PP","MG","odelmoleao","NA","resto"
-0.2583514429,-0.1168252966,"odoricomonteiro","ODORICO MONTEIRO","PT","CE","odoricomonteiro","NA","PT"
0.0393883446,0.1148018583,"oficial_goulart","GOULART","PSD","SP","oficial_goulart","NA","resto"
-0.0388127944,0.1939884737,"onyxlorenzoni","ONYX LORENZONI","DEM","RS","onyxlorenzoni","NA","resto"
0.0804505327,0.0516090031,"opedrofernandes","PEDRO FERNANDES","PTB","MA","opedrofernandes","NA","resto"
-0.3081905443,-0.1105843112,"orlandosilva_jr","ORLANDO SILVA","PCdoB","SP","orlandosilva_jr","NA","resto"
0.1485619251,-0.0658347022,"osmar_serraglio","OSMAR SERRAGLIO","PMDB","PR","osmar_serraglio","NA","PMDB"
-0.1812203819,0.1354600287,"osmarterra","OSMAR TERRA","PMDB","RS","osmarterra","NA","PMDB"
0.0694118362,0.1300010838,"otavioleite","OTAVIO LEITE","PSDB","RJ","otavioleite","NA","PSDB"
-0.296199679,0.308475066,"passarinho5555","JOAQUIM PASSARINHO","PSD","PA","passarinho5555","NA","resto"
0.1982075518,-0.0686840851,"pastoreurico","PASTOR EURICO","PSB","PE","pastoreurico","NA","resto"
0.1965781907,-0.0588237347,"pastortakayama","TAKAYAMA","PSC","PR","pastortakayama","NA","resto"
0.0135230582,0.1705262494,"pauderney","PAUDERNEY AVELINO","DEM","AM","pauderney","NA","resto"
-0.2614705206,-0.1118871608,"paulaodopt","PAULÃO","PT","AL","paulaodopt","NA","PT"
0.0741129104,0.1542899604,"pauloabiackel","PAULO ABI-ACKEL","PSDB","MG","pauloabiackel","NA","PSDB"
0.0911274149,0.0318465339,"pauloazi","PAULO AZI","DEM","BA","pauloazi","NA","resto"
