Perfil,Categoria,dif_pt_psdb,DEM,PCdoB,PDT,PEN,PHS,PMDB,PMN,PP,PPS,PR,PRB,PROS,PRP,PRTB,PSB,PSC,PSD,PSDB,PSDC,PSL,PSOL,PT,PTB,PTC,PTdoB,PTN,PV,S.PART.,SD,Total de deputados seguindo
@padilhando,político,-34,,5,4,,,15,,7,2,3,1,3,,1,7,1,8,6,1,1,1,40,7,,1,1,,,6,121
@realwbonner,jornalista,9,5,3,3,,1,16,1,7,5,3,2,3,,1,6,,13,20,1,,1,11,5,1,,1,2,,8,119
@ultimosegundo,mídia,-11,6,5,6,,1,17,1,5,2,8,2,1,,1,5,,7,11,1,,2,22,6,,,1,1,,7,118
@bbcbrasil,mídia,-9,5,1,2,,1,16,,6,3,6,3,1,,1,8,1,6,16,1,,2,25,5,,1,2,1,,5,118
@jornalnacional,mídia,4,8,4,4,,,14,1,7,1,8,3,4,1,,5,1,9,19,,,,15,4,1,,1,,,7,117
@OGloboPolitica,mídia,7,7,1,2,,3,17,,11,2,6,1,1,,,6,,5,23,1,,2,16,4,,,1,,,7,116
@MarceloTas,jornalista,-6,7,2,5,,1,12,1,8,4,2,5,3,,1,6,,8,16,,,2,22,3,,1,,1,,5,115
@HenriqueEAlves,político,4,4,3,5,,,23,1,9,3,4,1,5,1,,7,,7,15,,1,1,11,6,,,,1,,5,113
@BarackObama,personalidade,2,8,1,5,,,9,1,8,3,4,4,3,1,1,4,,9,19,1,,2,17,5,,1,2,,,4,112
@brasil247,mídia,-29,2,6,2,,,13,,5,3,3,1,2,,1,6,,4,11,,1,3,40,3,,,1,1,,3,111
@SenadorCaiado,político,15,14,2,4,,,12,1,11,3,4,,2,1,,4,1,8,21,,1,,6,6,,,,1,,7,109
@jornaldacbn,mídia,-6,10,3,1,,,14,,3,3,8,1,,,,7,,7,15,1,,2,21,4,,1,2,2,,4,109
@reinaldoazevedo,jornalista,28,8,1,3,,1,15,,5,5,6,2,1,,,6,2,8,30,,,,2,4,,,1,1,,7,108
@CNJ_oficial,"Instituição, partido, empresa",-13,5,3,3,,1,14,,8,5,5,2,3,,,2,,6,12,1,,2,25,4,1,,2,,,4,108
@gleisi,político,-34,,5,4,,,15,,6,2,6,,3,,1,5,,6,4,,1,,38,5,,1,2,,,3,107
@luisnassif,jornalista,-29,3,7,3,,,9,1,3,4,1,,,,,7,,5,10,1,1,3,39,3,,,1,,,5,106
@JornaldoBrasil,mídia,-10,4,4,2,,1,12,1,4,3,7,2,4,,1,3,,7,12,1,1,2,22,6,,,1,,,4,104
@RadioCamara,"Instituição, partido, empresa",-13,4,4,2,1,1,11,,9,2,4,,3,,,4,,6,12,1,,1,25,4,1,1,1,,,5,102
@RomarioOnze,político,4,1,2,3,,1,11,1,4,2,6,3,6,1,,11,1,10,14,,1,1,10,4,,1,1,,,7,102
@minsaude,"Instituição, partido, empresa",-28,4,3,6,,,13,,7,1,2,1,3,1,1,6,,4,4,1,,2,32,4,,1,2,,,4,102
@jose_simao,jornalista,-5,5,3,2,,,16,,3,2,2,1,2,,1,5,2,1,15,1,1,4,20,6,,,2,,1,6,101
@blogdilmabr,"Instituição, partido, empresa",-43,,3,3,,1,12,,4,1,5,,1,,1,6,,5,2,1,1,,45,4,,1,,1,,2,99
